"epi_week","state","loc","cases","incidence_per_100000","epi_week_date_dmy"
192801,"PA","PENNSYLVANIA",0,0,1928-01-07
192801,"GA","GEORGIA",1,0.03,1928-01-07
192801,"IN","INDIANA",1,0.03,1928-01-07
192801,"ME","MAINE",0,0,1928-01-07
192801,"NE","NEBRASKA",1,0.07,1928-01-07
192801,"WV","WEST VIRGINIA",1,0.06,1928-01-07
192801,"MN","MINNESOTA",0,0,1928-01-07
192801,"CA","CALIFORNIA",9,0.17,1928-01-07
192801,"NC","NORTH CAROLINA",0,0,1928-01-07
192801,"NY","NEW YORK",9,0.08,1928-01-07
192801,"WI","WISCONSIN",1,0.03,1928-01-07
192801,"SC","SOUTH CAROLINA",1,0.06,1928-01-07
192801,"MI","MICHIGAN",2,0.04,1928-01-07
192801,"OR","OREGON",6,0.64,1928-01-07
192801,"NM","NEW MEXICO",0,0,1928-01-07
192801,"FL","FLORIDA",0,0,1928-01-07
192801,"NJ","NEW JERSEY",3,0.08,1928-01-07
192801,"LA","LOUISIANA",0,0,1928-01-07
192801,"WY","WYOMING",0,0,1928-01-07
192801,"MT","MONTANA",1,0.18,1928-01-07
192801,"CT","CONNECTICUT",0,0,1928-01-07
192801,"KS","KANSAS",0,0,1928-01-07
192801,"OH","OHIO",1,0.02,1928-01-07
192801,"TN","TENNESSEE",1,0.04,1928-01-07
192801,"OK","OKLAHOMA",0,0,1928-01-07
192801,"MA","MASSACHUSETTS",6,0.14,1928-01-07
192801,"AR","ARKANSAS",0,0,1928-01-07
192801,"CO","COLORADO",4,0.39,1928-01-07
192801,"IA","IOWA",2,0.08,1928-01-07
192801,"KY","KENTUCKY",0,0,1928-01-07
192801,"AL","ALABAMA",0,0,1928-01-07
192801,"RI","RHODE ISLAND",0,0,1928-01-07
192801,"DE","DELAWARE",0,0,1928-01-07
192801,"ID","IDAHO",0,0,1928-01-07
192801,"UT","UTAH",0,0,1928-01-07
192801,"MS","MISSISSIPPI",0,0,1928-01-07
192801,"WA","WASHINGTON",4,0.26,1928-01-07
192801,"TX","TEXAS",3,0.05,1928-01-07
192801,"IL","ILLINOIS",2,0.03,1928-01-07
192801,"SD","SOUTH DAKOTA",0,0,1928-01-07
192801,"MD","MARYLAND",1,0.06,1928-01-07
192801,"VT","VERMONT",0,0,1928-01-07
192801,"AZ","ARIZONA",0,0,1928-01-07
192801,"MO","MISSOURI",1,0.03,1928-01-07
192802,"CO","COLORADO",2,0.2,1928-01-14
192802,"AR","ARKANSAS",0,0,1928-01-14
192802,"ME","MAINE",1,0.13,1928-01-14
192802,"MI","MICHIGAN",2,0.04,1928-01-14
192802,"AL","ALABAMA",0,0,1928-01-14
192802,"TX","TEXAS",2,0.04,1928-01-14
192802,"GA","GEORGIA",0,0,1928-01-14
192802,"NM","NEW MEXICO",0,0,1928-01-14
192802,"FL","FLORIDA",0,0,1928-01-14
192802,"SC","SOUTH CAROLINA",1,0.06,1928-01-14
192802,"IN","INDIANA",1,0.03,1928-01-14
192802,"ND","NORTH DAKOTA",3,0.45,1928-01-14
192802,"NJ","NEW JERSEY",1,0.03,1928-01-14
192802,"IL","ILLINOIS",1,0.01,1928-01-14
192802,"WV","WEST VIRGINIA",4,0.24,1928-01-14
192802,"KS","KANSAS",4,0.22,1928-01-14
192802,"NC","NORTH CAROLINA",1,0.03,1928-01-14
192802,"OR","OREGON",4,0.43,1928-01-14
192802,"MT","MONTANA",0,0,1928-01-14
192802,"MA","MASSACHUSETTS",6,0.14,1928-01-14
192802,"MN","MINNESOTA",1,0.04,1928-01-14
192802,"MS","MISSISSIPPI",0,0,1928-01-14
192802,"OK","OKLAHOMA",1,0.04,1928-01-14
192802,"TN","TENNESSEE",1,0.04,1928-01-14
192802,"NE","NEBRASKA",1,0.07,1928-01-14
192802,"LA","LOUISIANA",1,0.05,1928-01-14
192802,"MO","MISSOURI",2,0.06,1928-01-14
192802,"CT","CONNECTICUT",0,0,1928-01-14
192802,"KY","KENTUCKY",0,0,1928-01-14
192802,"ID","IDAHO",0,0,1928-01-14
192802,"WA","WASHINGTON",6,0.39,1928-01-14
192802,"NY","NEW YORK",6,0.05,1928-01-14
192802,"DE","DELAWARE",0,0,1928-01-14
192802,"UT","UTAH",0,0,1928-01-14
192802,"WY","WYOMING",0,0,1928-01-14
192802,"AZ","ARIZONA",0,0,1928-01-14
192802,"VT","VERMONT",0,0,1928-01-14
192802,"WI","WISCONSIN",1,0.03,1928-01-14
192802,"PA","PENNSYLVANIA",3,0.03,1928-01-14
192802,"RI","RHODE ISLAND",0,0,1928-01-14
192802,"CA","CALIFORNIA",8,0.15,1928-01-14
192802,"SD","SOUTH DAKOTA",0,0,1928-01-14
192802,"MD","MARYLAND",1,0.06,1928-01-14
192803,"OK","OKLAHOMA",0,0,1928-01-21
192803,"ND","NORTH DAKOTA",0,0,1928-01-21
192803,"LA","LOUISIANA",0,0,1928-01-21
192803,"CT","CONNECTICUT",1,0.06,1928-01-21
192803,"CA","CALIFORNIA",6,0.11,1928-01-21
192803,"MA","MASSACHUSETTS",3,0.07,1928-01-21
192803,"ME","MAINE",0,0,1928-01-21
192803,"WY","WYOMING",0,0,1928-01-21
192803,"OR","OREGON",10,1.07,1928-01-21
192803,"FL","FLORIDA",0,0,1928-01-21
192803,"AR","ARKANSAS",0,0,1928-01-21
192803,"NE","NEBRASKA",0,0,1928-01-21
192803,"NC","NORTH CAROLINA",0,0,1928-01-21
192803,"TX","TEXAS",0,0,1928-01-21
192803,"MT","MONTANA",1,0.18,1928-01-21
192803,"AL","ALABAMA",1,0.04,1928-01-21
192803,"SC","SOUTH CAROLINA",6,0.35,1928-01-21
192803,"IL","ILLINOIS",2,0.03,1928-01-21
192803,"KS","KANSAS",0,0,1928-01-21
192803,"CO","COLORADO",0,0,1928-01-21
192803,"NY","NEW YORK",4,0.03,1928-01-21
192803,"SD","SOUTH DAKOTA",0,0,1928-01-21
192803,"PA","PENNSYLVANIA",2,0.02,1928-01-21
192803,"NJ","NEW JERSEY",0,0,1928-01-21
192803,"TN","TENNESSEE",0,0,1928-01-21
192803,"WV","WEST VIRGINIA",2,0.12,1928-01-21
192803,"WI","WISCONSIN",1,0.03,1928-01-21
192803,"MI","MICHIGAN",1,0.02,1928-01-21
192803,"ID","IDAHO",0,0,1928-01-21
192803,"WA","WASHINGTON",2,0.13,1928-01-21
192803,"IN","INDIANA",1,0.03,1928-01-21
192803,"NM","NEW MEXICO",0,0,1928-01-21
192803,"MN","MINNESOTA",0,0,1928-01-21
192803,"MS","MISSISSIPPI",0,0,1928-01-21
192803,"DE","DELAWARE",0,0,1928-01-21
192803,"MD","MARYLAND",0,0,1928-01-21
192803,"KY","KENTUCKY",0,0,1928-01-21
192803,"UT","UTAH",0,0,1928-01-21
192803,"RI","RHODE ISLAND",0,0,1928-01-21
192803,"OH","OHIO",4,0.06,1928-01-21
192803,"VT","VERMONT",0,0,1928-01-21
192803,"AZ","ARIZONA",0,0,1928-01-21
192803,"MO","MISSOURI",1,0.03,1928-01-21
192804,"TX","TEXAS",3,0.05,1928-01-28
192804,"FL","FLORIDA",0,0,1928-01-28
192804,"SC","SOUTH CAROLINA",4,0.23,1928-01-28
192804,"OK","OKLAHOMA",2,0.09,1928-01-28
192804,"MD","MARYLAND",0,0,1928-01-28
192804,"MT","MONTANA",0,0,1928-01-28
192804,"CA","CALIFORNIA",4,0.07,1928-01-28
192804,"ND","NORTH DAKOTA",1,0.15,1928-01-28
192804,"MA","MASSACHUSETTS",1,0.02,1928-01-28
192804,"AR","ARKANSAS",2,0.11,1928-01-28
192804,"NE","NEBRASKA",0,0,1928-01-28
192804,"RI","RHODE ISLAND",0,0,1928-01-28
192804,"WY","WYOMING",0,0,1928-01-28
192804,"LA","LOUISIANA",0,0,1928-01-28
192804,"WV","WEST VIRGINIA",2,0.12,1928-01-28
192804,"IN","INDIANA",4,0.12,1928-01-28
192804,"NM","NEW MEXICO",0,0,1928-01-28
192804,"AZ","ARIZONA",1,0.24,1928-01-28
192804,"CO","COLORADO",2,0.2,1928-01-28
192804,"WI","WISCONSIN",0,0,1928-01-28
192804,"OR","OREGON",5,0.53,1928-01-28
192804,"PA","PENNSYLVANIA",2,0.02,1928-01-28
192804,"ME","MAINE",0,0,1928-01-28
192804,"IL","ILLINOIS",4,0.05,1928-01-28
192804,"TN","TENNESSEE",1,0.04,1928-01-28
192804,"DC","DISTRICT OF COLUMBIA",0,0,1928-01-28
192804,"AL","ALABAMA",0,0,1928-01-28
192804,"IA","IOWA",0,0,1928-01-28
192804,"MS","MISSISSIPPI",0,0,1928-01-28
192804,"MN","MINNESOTA",0,0,1928-01-28
192804,"NC","NORTH CAROLINA",0,0,1928-01-28
192804,"DE","DELAWARE",0,0,1928-01-28
192804,"NY","NEW YORK",7,0.06,1928-01-28
192804,"NJ","NEW JERSEY",1,0.03,1928-01-28
192804,"KY","KENTUCKY",0,0,1928-01-28
192804,"WA","WASHINGTON",1,0.06,1928-01-28
192804,"GA","GEORGIA",0,0,1928-01-28
192804,"KS","KANSAS",0,0,1928-01-28
192804,"CT","CONNECTICUT",1,0.06,1928-01-28
192804,"NH","NEW HAMPSHIRE",0,0,1928-01-28
192804,"ID","IDAHO",0,0,1928-01-28
192804,"MI","MICHIGAN",1,0.02,1928-01-28
192804,"SD","SOUTH DAKOTA",0,0,1928-01-28
192804,"VT","VERMONT",0,0,1928-01-28
192804,"UT","UTAH",0,0,1928-01-28
192804,"OH","OHIO",0,0,1928-01-28
192804,"MO","MISSOURI",2,0.06,1928-01-28
192805,"FL","FLORIDA",0,0,1928-02-04
192805,"AL","ALABAMA",0,0,1928-02-04
192805,"TX","TEXAS",3,0.05,1928-02-04
192805,"CO","COLORADO",0,0,1928-02-04
192805,"ND","NORTH DAKOTA",0,0,1928-02-04
192805,"NY","NEW YORK",8,0.07,1928-02-04
192805,"TN","TENNESSEE",0,0,1928-02-04
192805,"MO","MISSOURI",0,0,1928-02-04
192805,"OK","OKLAHOMA",0,0,1928-02-04
192805,"NE","NEBRASKA",2,0.15,1928-02-04
192805,"RI","RHODE ISLAND",0,0,1928-02-04
192805,"GA","GEORGIA",0,0,1928-02-04
192805,"LA","LOUISIANA",0,0,1928-02-04
192805,"AR","ARKANSAS",0,0,1928-02-04
192805,"MT","MONTANA",0,0,1928-02-04
192805,"SC","SOUTH CAROLINA",3,0.17,1928-02-04
192805,"WY","WYOMING",0,0,1928-02-04
192805,"WV","WEST VIRGINIA",1,0.06,1928-02-04
192805,"WA","WASHINGTON",2,0.13,1928-02-04
192805,"NM","NEW MEXICO",2,0.48,1928-02-04
192805,"MS","MISSISSIPPI",0,0,1928-02-04
